word_raw,count
front,605
ended,20
happen,355
yell,44
beard,62
tonya,9
yucky,177
while,1034
light,972
candles,69
draw,1133
naps,12
puppet,78
bee,204
combination,37
pepper,103
feeder,20
turtle,277
persons,5
cheesy,27
mountains,24
velociraptor,8
send,88
strains,3
peas,129
daisy,197
shoot,166
zero,78
dry,437
hard,1082
ones,721
needs,449
such,353
top,1202
bit,1230
problem,144
sixteenth,12
feet,782
snow,631
garage,267
knife,169
shows,34
buds,5
fatter,8
kelly,4
horse,498
page,774
pennies,99
auntie,332
neat,374
miss,450
cheating,27
happened,1622
ride,651
shake,459
headed,23
throat,74
pots,59
pipe,88
mickey,162
circus,182
blue,1852
choke,174
clock,268
microphone,673
letter,448
walks,342
finish,703
lay,301
mrs,436
plan,51
buy,591
toby,55
us,1782
stir,129
whoever,20
bag,683
bug,309
bees,69
wants,815
hold,1320
fold,120
triceratops,23
feed,254
peep,85
sticky,288
angry,130
fast,523
crayon,407
dug,10
mission,5
buttons,162
spot,216
wa,37
t,354
found,1119
broken,435
guess,909
pig,603
ow,196
stand,574
brush,418
catch,612
oliver,178
matter,522
wide,127
telling,233
outside,931
until,740
napkin,136
pulling,142
trees,434
spoonfuls,4
made,1374
eyes,899
nose,1133
yourself,664
wan,64
max,331
pot,163
car,2423
following,56
sleep,820
rake,96
eye,421
catching,31
its,511
plates,129
mine,614
match,198
lot,981
holding,267
careful,1071
triangle,211
napkins,42
aching,2
finger,500
drawing,246
office,130
train,1083
christmas,339
scratch,156
ever,672
tomorrow,652
kangaroo,200
nails,51
three,2274
ache,161
sink,193
milk,1477
pick,1311
sugar,472
house,2719
running,295
giant,174
stickers,96
boo,562
button,376
koala,112
aunt,227
heaven,26
nothing,534
mama,565
ruth,9
spider,266
lucille,29
guys,450
ocean,125
old,1057
nine,438
door,1302
strawberry,175
wolf,167
solve,7
amused,2
rocket,521
kiss,815
ribbit,66
instruments,27
celia,6
cookie,828
use,1442
done,1482
everyone,213
mermaid,31
food,1318
stairs,335
working,233
franklin,187
cocoon,427
any,2193
chairs,146
better,1897
need,2646
god,392
press,316
recorded,13
owl,769
phrase,2
goodbye,260
cups,265
seat,278
messy,118
really,2818
comes,1050
chinese,43
plays,80
disappeared,61
splash,142
window,475
searched,12
years,250
their,1675
clean,901
sale,33
someone,313
fit,628
yours,568
puppy,499
wanted,622
freshman,2
heart,176
goblin,9
played,266
fish,989
rice,353
engines,38
control,20
first,2073
father,226
block,383
bump,430
between,213
move,769
fantastic,32
cubes,35
lightning,18
cheap,15
scoot,30
piano,76
dessert,171
floor,1099
hand,1320
habit,11
sea,337
holder,17
ready,2066
accept,4
sunshine,50
tower,276
even,1139
nuts,98
mind,221
under,990
interest,9
bundles,31
pocket,336
toe,153
spoons,130
fooling,39
tickled,25
dollar,58
milkshake,23
missing,216
spell,276
lemme,385
times,200
fork,191
things,1745
carried,42
camera,546
bully,4
cars,555
bolted,1
masters,2
haywire,1
happening,224
mop,47
tomatoes,106
jest,2
coffee,922
biggest,71
farm,259
grab,102
accident,114
named,170
forgot,364
appeared,36
claus,52
life,105
grandma,421
pockets,61
cafeteria,44
wand,44
six,605
computer,51
gross,90
peaches,58
glove,50
jump,637
bat,120
ballroom,7
wall,372
powers,5
leaf,610
pair,183
brown,517
may,767
fell,879
bless,198
mean,1455
pickle,243
happiest,5
inside,1102
oranges,260
opens,73
changing,46
teenager,13
saturday,338
cow,745
natural,23
message,43
gallery,5
super,71
sight,23
count,492
cider,10
texas,101
wrong,458
afternoon,167
horses,152
recording,80
gotta,716
jumped,216
w,171
planning,19
leaves,295
pears,256
animal,324
swedish,1
tap,76
hear,1217
egg,1239
lion,427
lassie,66
close,952
spaghetti,159
shape,195
felix,31
poor,403
saw,1323
busy,286
either,459
guitar,56
bubble,166
waves,33
wonderful,143
told,735
uniform,18
bye,988
love,1219
sally,98
asparagus,16
park,323
sleeping,420
onto,256
stops,42
potty,253
project,14
starry,5
nighttime,25
lipstick,25
considered,5
friends,528
salami,234
tab,18
fingers,393
song,651
downstairs,189
letting,34
believe,272
tonight,448
throwing,149
bet,439
heard,391
scrub,69
birthday,891
middle,247
proud,51
frogs,79
cords,7
fireman,91
thomas,235
undo,8
flour,126
sheila,6
basketball,59
understand,203
curve,15
land,178
spread,56
tooth,158
firefighter,24
anyone,93
ta,710
jasmine,48
making,1032
favorite,593
magnets,94
eagerly,3
lines,78
balls,254
dripped,105
person,315
which,1553
crying,288
treating,12
mixing,71
lean,33
ee,39
tomato,111
fridge,39
furniture,58
lit,19
clip,188
zoom,45
grey,76
fixed,162
nope,491
remove,3
hurt,776
eleven,151
eight,476
checked,26
espresso,9
took,996
amanda,216
sneaker,6
elbows,42
boston,114
ariel,188
shining,29
doleful,1
twigs,10
broke,376
sound,343
feeling,114
cereal,306
sisters,50
mississippi,29
grandpa,147
most,231
drove,50
ties,10
shouted,80
bakery,72
rand,2
having,713
hopefully,18
boat,484
burger,31
pillow,304
mirror,224
teddy,350
turning,169
brought,361
purple,556
visiting,23
rex,42
lowly,51
bah,41
lap,261
goat,127
shale,1
white,832
ms,13
responsibilities,4
ten,510
ear,369
small,903
finn,1
phone,696
behind,459
somewhere,229
sky,336
nibbled,180
department,43
suppose,111
spoon,750
frozen,79
call,1418
far,331
hardly,49
shawl,2
lightest,3
arizona,14
gosh,722
george,115
later,898
toss,12
bitten,6
pajamas,141
ernie,233
oatmeal,205
pictures,511
huge,150
belly,217
double,46
showing,73
rope,142
part,678
bright,106
older,102
connected,12
pie,653
pigs,198
scared,410
noise,518
polly,97
di,119
meal,72
touched,33
stew,67
monkey,445
bell,166
stuff,942
men,196
ago,274
bark,153
feather,71
bracelet,93
lots,583
jay,69
tiny,531
climb,260
other,3334
bluebird,10
groan,2
smell,232
laura,86
excused,21
hers,53
blows,38
picking,114
mushroom,37
hon,120
police,171
scratchy,61
camel,97
sneeze,56
closet,236
merry,66
sleepy,300
ursula,303
walked,179
dolls,133
island,86
locked,50
fluff,24
clothes,489
sara,74
caught,240
gives,114
heads,56
open,1721
sack,48
fly,407
fridays,4
sock,137
turned,293
grape,114
yeh,370
hung,65
fits,184
bulldozer,58
feast,6
upstairs,315
worm,116
princess,145
bags,52
mr,452
from,2377
boxes,77
living,336
whale,113
hope,314
cones,19
cardinal,12
savers,3
cock,63
pretending,115
fancy,61
scissors,158
lips,63
carrot,155
practice,43
magazine,55
tough,66
trip,138
harold,91
l,213
superman,11
sweets,166
e,367
pete,42
whether,83
z,92
ants,80
try,2228
nap,460
bozo,60
oops,819
sneezed,26
friday,340
sweep,41
seen,565
apple,962
pushed,261
decision,9
rushed,34
abe,1316
guy,517
suitcase,106
golly,18
slice,493
hooray,154
blinking,17
walk,793
store,595
pirate,80
country,99
cents,53
radio,95
horton,69
bathrobe,17
kids,567
alex,1117
blink,37
delightful,3
himself,353
u,135
makes,597
recorder,376
shoes,643
olive,19
present,230
sunday,535
trunks,175
session,26
yard,156
girls,195
nineteen,55
hundred,225
fun,857
guessing,13
airplane,500
plenty,89
kicked,26
ship,105
kingdom,35
roll,476
boots,313
lady,419
flips,8
tangled,94
roared,114
sweet,293
peter,184
second,540
clown,299
arrived,46
switch,138
goin,45
pull,987
ma,215
female,66
monday,281
dribble,29
rip,93
break,625
bar,80
refrigerator,329
sweating,9
dense,4
frederick,57
yesterday,685
jack,238
sentences,17
sir,152
colors,478
dr,53
music,338
vim,23
dump,278
corner,341
means,344
watermelon,243
butter,510
philip,11
anastasia,7
whistle,108
possums,5
carrots,189
titans,3
ray,31
bounce,333
outdoors,41
scallops,6
groups,39
kitten,162
bridge,281
mad,257
cindy,65
whiz,8
snake,352
mena,2
clowns,39
newborn,14
pride,50
road,264
cherry,291
suddenly,143
peek,158
extra,102
cozy,44
brighams,3
lying,86
whats,56
whoa,891
stayed,286
runs,222
traffic,30
rudolf,15
hok,9
ski,16
twelve,156
leo,3
mass,14
bites,112
stretch,44
shower,152
squid,27
sidewalk,56
dear,315
penny,138
sometimes,559
sing,715
names,178
engineer,47
papers,72
pole,74
peace,15
telescope,40
shaker,10
morning,1249
actually,564
sense,56
sliding,44
silvery,2
stuffing,15
toy,545
lost,411
eleventh,12
binoculars,8
nik,8
pants,388
fire,753
colin,102
plate,492
branches,58
price,20
advertising,3
dirt,211
rosita,17
snack,153
toad,148
tweet,123
quite,284
dishes,253
waiting,200
planes,22
upon,108
after,1552
darla,1
bone,117
king,192
strong,194
question,164
climbed,97
ketchup,97
wool,37
cards,168
wanta,33
flew,487
save,153
third,89
without,283
laundromat,8
wish,200
taking,544
year,473
zoo,385
dumper,15
splashed,15
bookshelf,8
afterward,15
bacon,106
uncle,303
dropped,251
sammy,14
scarf,49
scooter,63
h,153
andrew,91
concept,7
slowly,69
dinosaur,394
term,4
singing,182
elephant,922
twinkle,88
complaining,11
batteries,119
holes,260
choo,294
lil,385
o,398
orchestra,12
indian,70
practically,13
chill,5
magnetic,28
fourteen,78
kinda,329
quick,477
bryce,10
rolling,180
nosed,9
owls,68
costs,14
deserve,33
wood,161
picture,1343
arms,212
op,81
drinking,231
hurry,284
blow,598
pink,647
n,290
fourth,52
stepping,41
tow,105
clumsy,5
writing,179
rhode,43
special,372
donna,106
whoop,259
biting,35
cut,811
gesundheit,16
yummy,464
nets,2
squishy,87
towel,352
pen,246
corinna,14
track,284
librarian,3
snowman,129
keys,133
toenails,9
francis,15
paddle,23
hole,618
heavy,299
cone,240
crash,196
breeze,21
thick,47
paw,48
barrel,33
always,679
knew,339
mother,1081
linda,34
forever,46
anybody,261
campers,3
slide,293
queen,148
sodas,4
cheaper,7
seemed,32
kidding,97
zebras,42
rock,339
cottage,68
violin,46
evolved,2
shut,340
puzzles,93
grow,237
center,42
easy,418
east,19
potatoes,199
grabbed,47
meatballs,30
fictional,2
squeeze,111
steps,90
jellies,8
bang,464
babbling,3
diamond,55
sounds,346
ran,360
feeding,95
finished,425
learning,53
ouch,152
coal,44
left,598
week,487
lettuce,130
reminds,26
q,64
sticks,171
building,281
alone,245
mets,7
trips,15
record,204
word,449
bumble,109
skunks,12
puzzle,534
supposed,696
sucks,5
vroom,151
horn,137
seed,61
supper,502
lives,334
tunnel,183
trunk,159
eve,606
tick,144
china,36
carriage,45
woman,134
banana,359
mailbox,42
besides,97
ballet,22
words,281
seasons,13
quarts,45
precious,7
cocoa,52
meals,18
em,542
promise,37
hen,133
eric,89
blowing,107
rangy,8
presents,96
feathers,62
glass,284
packed,124
fifteenth,17
bread,446
pulled,128
soda,129
spank,42
baseball,115
discovered,9
using,153
beaver,70
grass,355
ears,480
square,268
whoops,1050
dress,421
salt,171
meanwhile,24
raggedy,91
bears,225
beep,153
pin,92
backs,38
video,44
bucket,162
african,301
everything,780
lately,50
saber,15
cries,28
shore,14
stories,134
sneaking,14
higher,91
city,151
castle,129
perfect,93
sleeves,28
pretend,435
naughty,90
chest,97
plodded,2
tank,37
clap,181
voice,177
starts,96
twist,40
betty,113
tongue,181
someday,29
continue,17
blocked,8
outta,67
rain,312
digger,35
comb,170
creatures,68
sucking,11
prayers,33
trouble,162
drives,84
eaten,74
sun,699
tied,63
hang,408
ships,18
loves,298
sent,86
mower,15
panda,89
cloud,55
explorer,17
kettle,27
spaceship,36
lullabies,4
hafta,331
goose,105
bam,59
tusk,24
pliers,40
thirteen,78
birds,317
whack,12
knocked,147
tent,65
taste,328
welcome,411
murder,9
roads,17
craig,16
fifteen,79
papa,285
june,372
dunno,66
hoo,121
aislinn,115
definitely,82
being,510
