seq_len,d_model,nhead,batch_size,window_size,memory_mb,time_ms,tokens_per_sec
512,512,8,4,64,79.5234375,7.225203514099121,283452.22331849515
512,512,8,4,128,79.5234375,7.2612762451171875,282044.0830049908
512,512,8,4,256,79.5234375,7.346940040588379,278755.5075563113
1024,512,8,4,64,134.546875,7.323741912841797,559276.9445927469
1024,512,8,4,128,134.546875,7.336306571960449,558319.0887435125
1024,512,8,4,256,134.546875,7.258033752441406,564340.169763225
2048,512,8,4,64,282.09375,10.963678359985352,747194.4844623246
2048,512,8,4,128,282.09375,9.792542457580566,836554.9636865184
2048,512,8,4,256,282.09375,9.661698341369629,847884.0583257864
4096,512,8,4,64,727.1875,28.667616844177246,571515.9404095286
4096,512,8,4,128,727.1875,28.65743637084961,571718.9698331087
4096,512,8,4,256,727.1875,28.749942779541016,569879.3950873236
8192,512,8,4,64,2216.375,97.82471656799316,334966.4701274608
8192,512,8,4,128,2216.375,97.69418239593506,335414.03588596324
8192,512,8,4,256,2216.375,97.82609939575195,334961.7351851906
