word_raw,count
the,95530
way,2997
this,24681
thursday,273
while,1034
zebra,116
doing,3825
out,8981
to,42483
no,18259
from,2377
that,41067
be,7804
see,16338
oh,28962
balloon,631
much,1825
really,2818
take,4372
a,65066
like,17035
does,5003
will,3052
you,114059
it,53730
better,1897
g,199
cat,1653
thought,1258
do,27116
only,1186
but,7214
says,1595
has,3559
bath,1035
bring,1248
is,33247
need,2646
jumping,229
me,14001
winter,146
another,2805
dog,1888
for,12455
and,45270
wanna,6227
yeah,18648
date,28
two,4737
were,3495
say,5582
i,43635
on,24565
nope,491
off,3937
huh,7126
back,5487
emerson,14
wake,269
up,12569
with,12312
nice,3465
animal,324
so,9107
at,9987
baby,5302
was,11708
finger,500
different,871
circle,439
ya,2292
coming,1113
green,1742
since,192
your,22422
aunt,227
their,1675
an,3415
he,19102
can,17024
there,17463
have,18409
thank,3204
motor,87
his,6219
ethan,763
right,14360
red,2186
go,15721
something,3311
brown,517
okay,23111
wind,256
wiggle,117
matt,78
good,9541
birthday,891
postman,8
today,2129
glassy,1
first,2073
what,43867
scared,410
n,290
when,5648
foot,606
store,595
some,8394
push,1341
one,18424
these,3830
tonight,448
cream,619
coffee,922
holds,43
gonna,10380
birds,317
rabbit,404
white,832
four,1326
look,11319
jane,80
came,1532
know,11998
hat,1288
jar,106
town,176
pretty,2157
ladder,98
drink,1217
said,5734
she,9224
put,12023
elephants,912
else,3246
swims,30
call,1418
milk,1477
lee,18
trees,434
them,7184
down,7164
how,8870
person,315
thanks,492
plate,492
going,6453
we,17758
tongue,181
yummy,464
abe,1316
come,7853
him,4577
sun,699
open,1721
fish,989
they,10824
piece,1571
hill,195
haunted,10
super,71
finished,425
stopped,173
mary,122
want,13465
guy,517
timmy,31
why,5293
are,17847
bags,52
named,170
few,412
kiss,815
bit,1230
pig,603
wash,612
cup,1108
water,2279
around,2363
fix,946
eat,4996
gave,624
enjoy,68
box,2174
beings,1
holes,260
play,5514
feet,782
boy,2255
yep,1395
either,459
fire,753
in,27518
any,2193
big,5321
find,2219
or,3883
love,1219
mrs,436
babies,403
blue,1852
if,5719
pet,61
twinkle,88
jewelry,20
eggs,426
microphone,673
her,6358
carrot,155
painting,117
land,178
get,11455
other,3334
