word_raw,count
oh,28962
see,16338
want,13465
the,95530
are,17847
shut,340
when,5648
all,10154
dinosaur,394
that,41067
yellow,1145
just,8147
gee,101
up,12569
from,2377
call,1418
vast,1
soft,198
gonna,10380
okay,23111
bad,667
nap,460
greens,12
wash,612
guy,517
bumpy,43
alright,4329
it,53730
him,4577
your,22422
hold,1320
and,45270
beef,78
daddy,3549
so,9107
bath,1035
now,9266
say,5582
ate,2006
name,2204
friday,340
well,7223
help,2106
wanna,6227
a,65066
going,6453
make,5618
you,114059
here,16461
barn,184
some,8394
know,11998
he,19102
went,2617
what,43867
play,5514
go,15721
we,17758
then,5800
not,10260
i,43635
my,7563
monsters,46
dropped,251
chi,3538
sure,2061
who,5473
different,871
throw,1485
wear,623
in,27518
get,11455
this,24681
parents,66
on,24565
thought,1258
yeah,18648
about,5994
at,9987
walked,179
gigi,119
slice,493
maybe,2577
stand,574
room,1498
tub,66
five,1187
give,2762
doing,3825
egg,1239
she,9224
waffle,43
got,6150
tapes,26
last,1297
really,2818
they,10824
d,370
wrong,458
am,893
april,102
right,14360
said,5734
rocks,194
robot,70
no,18259
please,2239
but,7214
violin,46
little,9717
kitchen,673
oop,334
already,676
calculator,15
rocket,521
to,42483
why,5293
sit,2779
next,1769
somebody,491
girl,1413
banana,359
elephants,912
saw,1323
honey,3509
feel,765
taking,544
square,268
have,18409
flights,5
ten,510
hi,1842
potatoes,199
her,6358
swimming,352
moon,1230
wilson,54
monday,281
catch,612
while,1034
where,7301
eating,1412
yours,568
is,33247
for,12455
of,17549
fraser,200
upside,201
rest,448
mhm,4025
tape,937
their,1675
took,996
babies,403
mouth,1444
jelly,160
toots,4
there,17463
tomorrow,652
vroom,151
yes,6549
chimney,406
another,2805
or,3883
these,3830
came,1532
bag,683
blanket,296
night,1706
find,2219
paper,1309
supermarket,77
be,7804
noodles,86
over,5975
heart,176
did,12544
those,3749
fish,989
much,1825
hammer,266
two,4737
under,990
like,17035
work,1183
noses,22
better,1897
skin,126
talk,1508
big,5321
squirt,188
names,178
paint,317
long,1359
other,3334
every,490
which,1553
tripod,81
think,9530
bring,1248
phone,696
bed,1665
balloon,631
found,1119
build,533
with,12312
one,18424
out,8981
come,7853
colors,478
car,2423
turned,293
shoes,643
ta,710
also,507
mass,14
take,4372
does,5003
present,230
how,8870
if,5719
y,163
book,4156
day,1917
again,2473
lo,8
good,9541
talking,709
cushman,1
sarah,1507
tricky,36
throws,23
bob,169
paul,383
monkey,445
eggs,426
thinking,261
carrying,117
janice,7
green,1742
hola,17
turtle,277
flower,313
whoa,891
ear,369
anything,1112
too,6039
combing,32
cheese,1012
four,1326
put,12023
bright,106
mrs,436
else,3246
scissors,158
sir,152
huh,7126
look,11319
traveling,10
me,14001
color,1894
swiss,172
milk,1477
hilda,112
do,27116
hammers,10
properly,39
was,11708
puppy,499
old,1057
might,951
ears,480
dirty,767
jacket,120
blocks,673
been,1084
felt,281
ribbon,71
map,138
fit,628
set,587
learn,263
has,3559
run,530
full,396
read,2965
cocoon,427
nine,438
box,2174
only,1186
high,455
wants,815
his,6219
hey,1890
tiny,531
closet,236
duck,959
sea,337
them,7184
completely,37
even,1139
paula,25
silly,1097
years,250
eight,476
towel,352
miss,450
juice,1079
ah,1586
above,175
away,2391
waiting,200
must,901
dog,1888
hanging,123
through,2544
many,1382
door,1302
corn,381
hippos,62
will,3052
filled,82
excited,100
whack,12
word,449
swallow,55
very,4924
guess,909
nice,3465
bar,80
