word_raw,count
the,95530
she,9224
under,990
well,7223
do,27116
this,24681
them,7184
we,17758
is,33247
you,114059
i,43635
poor,403
still,2133
pickle,243
cantaloupe,21
say,5582
hey,1890
but,7214
what,43867
to,42483
dish,184
it,53730
sometimes,559
oh,28962
too,6039
little,9717
fun,857
a,65066
play,5514
your,22422
they,10824
less,33
off,3937
go,15721
and,45270
out,8981
now,9266
become,39
can,17024
pink,647
just,8147
said,5734
house,2719
that,41067
count,492
chimney,406
name,2204
about,5994
my,7563
look,11319
inside,1102
want,13465
gave,624
why,5293
poked,16
fell,879
who,5473
call,1418
no,18259
okay,23111
if,5719
oop,334
honey,3509
tiger,249
shall,692
keys,133
of,17549
got,6150
yucky,177
threw,209
soft,198
doggies,77
huh,7126
e,367
would,4833
wait,2204
pair,183
sweetie,1439
happening,224
ready,2066
like,17035
water,2279
me,14001
school,1901
gonna,10380
could,2849
fresh,160
welcome,411
he,19102
cup,1108
yeah,18648
may,767
candy,297
up,12569
let,4136
pick,1311
gung,14
two,4737
being,510
someone,313
confused,30
daddy,3549
on,24565
there,17463
did,12544
should,2608
piece,1571
boxes,77
rice,353
happy,666
small,903
man,792
real,823
whoa,891
his,6219
by,1830
wet,476
hi,1842
read,2965
year,473
red,2186
get,11455
kind,2260
squeeze,111
turkey,237
alright,4329
know,11998
wearing,391
everything,780
tuna,67
how,8870
yourself,664
boy,2255
saw,1323
bear,2811
put,12023
give,2762
not,10260
tracks,111
where,7301
so,9107
one,18424
big,5321
court,6
hand,1320
think,9530
other,3334
for,12455
shape,195
see,16338
at,9987
mine,614
sorry,803
right,14360
four,1326
chi,3538
yes,6549
elephant,922
must,901
brother,291
came,1532
again,2473
listen,613
terrible,114
in,27518
does,5003
was,11708
bricks,56
cheeks,36
home,1744
wanted,622
eight,476
soon,450
fiddle,32
hello,1605
barnyard,8
made,1374
when,5648
cream,619
here,16461
watermelon,243
turned,293
were,3495
clouds,260
shirt,587
fat,451
grandma,421
tired,616
him,4577
lots,583
goes,2294
minute,1382
reading,349
adam,1375
some,8394
fits,184
had,3356
food,1318
elephants,912
meet,245
few,412
back,5487
five,1187
beast,49
or,3883
good,9541
pods,5
going,6453
thank,3204
largest,42
chris,62
pillow,304
owl,769
also,507
make,5618
watch,1802
eat,4996
wanna,6227
annie,93
hear,1217
dump,278
down,7164
are,17847
crossed,17
sea,337
scares,25
g,199
dripped,105
leave,1104
uh,2403
have,18409
harmonica,14
bit,1230
spilled,131
all,10154
diaper,426
with,12312
even,1139
pole,74
push,1341
manuela,382
ahead,863
flipped,21
book,4156
these,3830
be,7804
break,625
living,336
giant,174
yours,568
doing,3825
use,1442
party,597
into,2016
lift,137
yeh,370
robin,262
astra,39
puff,43
telephone,300
toys,1083
bottles,167
come,7853
paper,1309
quarter,96
better,1897
riding,221
actually,564
blue,1852
cookie,828
else,3246
same,705
nice,3465
yawned,15
step,182
ethan,763
bob,169
will,3052
which,1553
dress,421
car,2423
went,2617
washing,143
cleaning,134
lot,981
then,5800
unusual,18
t,354
ten,510
nap,460
sit,2779
yup,775
mama,565
tower,276
whether,83
clean,901
bite,792
um,2634
those,3749
cat,1653
funny,1211
numbers,148
take,4372
guys,450
idea,681
tick,144
blank,8
rubber,164
oven,126
nonsense,7
peek,158
cheese,1012
airplane,500
yum,310
top,1202
picture,1343
from,2377
