word_raw,count
at,9987
it,53730
from,2377
next,1769
was,11708
hard,1082
they,10824
you,114059
scare,70
he,19102
maybe,2577
said,5734
not,10260
the,95530
when,5648
oh,28962
see,16338
yep,1395
please,2239
that,41067
mushrooms,39
of,17549
danielle,39
am,893
balance,48
huh,7126
going,6453
nights,22
down,7164
do,27116
could,2849
one,18424
think,9530
share,166
wanna,6227
and,45270
new,1701
something,3311
good,9541
put,12023
look,11319
play,5514
what,43867
is,33247
me,14001
a,65066
lolly,16
your,22422
dog,1888
nice,3465
except,167
tree,1027
build,533
makes,597
little,9717
kids,567
nose,1133
but,7214
are,17847
guy,517
by,1830
some,8394
on,24565
in,27518
seen,565
been,1084
socks,261
pancakes,154
we,17758
here,16461
talk,1508
swiss,172
blender,18
i,43635
collapses,3
designer,1
p,275
want,13465
dance,267
cream,619
afraid,208
dada,56
take,4372
plant,141
uh,2403
go,15721
kind,2260
doing,3825
for,12455
touch,823
w,171
shrimp,29
cow,745
to,42483
leave,1104
young,114
laughs,18
give,2762
this,24681
come,7853
her,6358
trash,146
with,12312
now,9266
bus,762
all,10154
yes,6549
vegetables,149
did,12544
kansas,11
very,4924
their,1675
aunt,227
mommy,4881
stuff,942
just,8147
way,2997
his,6219
read,2965
wonder,332
up,12569
him,4577
about,5994
seventy,26
walked,179
getting,1418
get,11455
be,7804
thank,3204
ago,274
scarf,49
things,1745
broom,110
so,9107
gonna,10380
pear,147
trains,140
blow,598
sound,343
sand,189
ready,2066
cut,811
she,9224
helmet,364
make,5618
such,353
water,2279
too,6039
mrs,436
no,18259
baby,5302
rainbow,120
gorilla,45
two,4737
swim,200
where,7301
pie,653
blue,1852
chi,3538
as,2203
wear,623
there,17463
wig,32
bowl,559
writer,6
aw,388
rushed,34
sandwich,365
under,990
shoes,643
can,17024
time,3368
yeah,18648
dirt,211
lunch,705
lick,87
handlebars,7
grapes,170
wearing,391
over,5975
jug,33
story,1270
writing,179
different,871
goes,2294
ahead,863
stopped,173
turn,2448
does,5003
pascal,49
dad,348
know,11998
fast,523
lady,419
q,64
why,5293
happy,666
easier,114
paws,40
meat,251
bunny,1006
safe,95
cookie,828
pick,1311
scared,410
bed,1665
auntie,332
eyes,899
an,3415
moon,1230
nine,438
them,7184
out,8981
shut,340
chew,254
without,283
saturday,338
manuela,382
or,3883
book,4156
nothing,534
bump,430
these,3830
silly,1097
attach,55
shit,32
bag,683
will,3052
abort,1
okay,23111
basketball,59
cake,856
went,2617
plates,129
more,4949
marie,51
have,18409
murphy,37
cold,769
everything,780
alright,4329
say,5582
believe,272
comes,1050
key,149
animals,854
girls,195
puppy,499
us,1782
cello,6
crack,149
had,3356
lips,63
morning,1249
roll,476
then,5800
felt,281
four,1326
shapes,162
well,7223
drop,177
krista,18
coal,44
right,14360
guitar,56
mabel,3
afternoons,6
than,1030
yours,568
owl,769
fame,6
matthew,272
weeks,369
got,6150
adam,1375
guess,909
kissing,103
church,138
piece,1571
legs,346
tummy,217
puzzle,534
rice,353
coming,1113
toys,1083
if,5719
stepsisters,16
products,4
box,2174
candy,297
giant,174
eaten,74
elephants,912
farmer,146
cup,1108
job,575
help,2106
sometimes,559
mine,614
like,17035
counter,66
stella,69
sixty,37
rudolf,15
first,2073
were,3495
dental,7
crying,288
cucumber,27
off,3937
mailbox,42
victor,9
bad,667
let,4136
cook,353
love,1219
skin,126
made,1374
switch,138
color,1894
eating,1412
eye,421
minute,1382
mary,122
how,8870
poor,403
bear,2811
coffee,922
called,1790
through,2544
doctor,362
pajamas,141
room,1498
uses,60
avenue,11
has,3559
eat,4996
big,5321
bottle,529
place,635
bumped,76
would,4833
mom,1147
hand,1320
apple,962
bread,446
left,598
beautiful,663
banana,359
em,542
experiment,10
bit,1230
broken,435
doggie,623
daddy,3549
count,492
cups,265
welcome,411
ever,672
really,2818
car,2423
light,972
pinkie,17
fer,10
colors,478
ah,1586
old,1057
sleep,820
um,2634
shall,692
flying,247
other,3334
honey,3509
triangle,211
santa,296
milk,1477
horns,37
drew,84
whoops,1050
ariel,188
lion,427
should,2608
move,769
quit,43
award,4
perla,8
belly,217
zippering,1
sailor,10
pay,102
red,2186
shopping,152
because,4283
wrong,458
door,1302
tusks,226
pencil,332
started,512
kinds,215
rabbit,404
falling,275
panties,28
else,3246
dangerous,63
deborah,64
peaches,58
snuggle,59
refrigerator,329
plants,113
write,782
fairy,90
lots,583
roar,51
knocks,25
long,1359
gosh,722
tailor,4
tail,488
already,676
fun,857
hurt,776
my,7563
putting,543
around,2363
street,475
stuck,663
any,2193
stay,1097
actually,564
works,283
show,1798
snap,328
supper,502
bleep,85
thump,58
re,8
camera,546
elmo,302
birthday,891
back,5487
chimney,406
house,2719
paper,1309
pretty,2157
hands,831
figured,50
kitty,886
christopher,101
ghost,72
great,1641
fair,103
bumble,109
laughing,227
looked,506
tower,276
jumps,127
much,1825
ears,480
abe,1316
ask,756
gave,624
fat,451
stick,643
alf,7
shot,76
hungry,1925
wants,815
ate,2006
our,1442
those,3749
toy,545
sun,699
flew,487
rained,125
polly,97
woof,275
monster,253
snowman,129
died,48
yous,8
quite,284
older,102
likes,567
hey,1890
hurry,284
delicious,412
kittens,113
another,2805
cradle,31
catch,612
bacon,106
animal,324
later,898
quick,477
screwed,4
late,242
into,2016
supposed,696
who,5473
earnest,1
sticky,288
woo,451
alive,61
snow,631
pullin,2
bandage,9
drive,354
swimming,352
piggy,144
pete,42
yay,697
remember,2516
past,321
photograph,12
five,1187
same,705
promised,22
gun,126
wait,2204
field,81
inspecting,1
mhm,4025
name,2204
few,412
puppies,84
true,279
tacos,30
bird,1041
tripod,81
still,2133
frail,2
day,1917
barrette,43
head,1471
cheese,1012
bro,664
creatures,68
wrote,95
surprise,210
never,955
many,1382
taking,544
rug,222
bite,792
cars,555
yet,740
barrel,33
better,1897
michael,261
pounds,94
letter,448
ding,196
musical,22
find,2219
playing,1029
trusted,3
wash,612
miss,450
drank,79
sheet,25
looking,1179
wow,2512
turtles,77
fix,946
done,1482
con,7
bout,311
karen,32
sure,2061
minutes,374
slice,493
trip,138
friends,528
end,807
careful,1071
green,1742
angry,130
even,1139
took,996
drip,55
dong,34
mouse,354
hug,254
sarah,1507
lil,385
clean,901
creation,3
tissue,80
daisy,197
harvard,29
push,1341
being,510
april,102
nobody,305
boxes,77
circle,439
school,1901
top,1202
oatmeal,205
jonah,6
mad,257
jelly,160
three,2274
sit,2779
until,740
need,2646
favorite,593
supermarket,77
quack,398
tell,4142
picture,1343
shoe,391
while,1034
towel,352
pop,914
block,383
glass,284
ais,26
doo,406
area,21
stirring,24
pepper,103
boy,2255
jump,637
arm,268
dinner,544
workers,19
leaves,295
hold,1320
uncle,303
stack,80
tiny,531
foot,606
ones,721
bones,90
food,1318
taps,6
noise,518
years,250
fit,628
rah,10
birds,317
recording,80
hit,609
god,392
picked,195
soft,198
cinderella,237
came,1532
aid,22
driving,231
carrots,189
summer,219
seven,561
mia,3
barking,32
houses,58
pink,647
mickey,162
noticed,51
pole,74
gown,31
holding,267
answer,165
tracks,111
fist,8
white,832
underpants,47
idea,681
use,1442
knot,49
sing,715
after,1552
stop,1080
asking,105
yellow,1145
zoo,385
fawn,9
bring,1248
watch,1802
brown,517
lookout,3
tweedle,22
balls,254
african,301
squeezed,21
cool,300
properly,39
ball,2914
butter,510
bike,216
alex,1117
shell,119
last,1297
c,406
outside,931
small,903
pictures,511
concert,22
star,351
worry,157
cautious,4
somebody,491
bug,309
amount,38
pieces,509
smoothing,7
draw,1133
watermelon,243
finish,703
hot,1039
twist,40
brother,291
sent,86
pages,137
yourself,664
bags,52
marmalade,15
yup,775
times,200
ethan,763
fish,989
beer,29
cookies,575
potatoes,199
bucket,162
octopus,61
stewing,1
poodle,25
kicking,41
alley,106
backpack,462
hi,1842
design,45
system,29
music,338
sam,261
drag,59
told,735
today,2129
excuse,364
roots,22
climb,260
kitchen,673
plate,492
museum,173
bam,59
vroom,151
nickles,4
microphone,673
seem,95
tunnel,183
ta,710
melting,23
elephant,922
dollars,123
daughter,43
pooh,306
home,1744
johnny,59
part,678
waffle,43
squash,64
tables,17
pull,987
grade,36
far,331
mark,104
hair,1233
egg,1239
run,530
tossing,4
ripped,66
rocket,521
tall,402
bib,66
direction,41
relative,62
tooth,158
night,1706
funny,1211
eve,606
scoop,101
rate,7
spoon,750
river,153
truck,1164
bench,51
contact,2
fits,184
husband,34
hunt,22
dough,205
duck,959
level,18
magic,210
may,767
says,1595
movie,290
liked,186
buttons,162
boo,562
ride,651
beaters,5
bananas,129
bounce,333
throw,1485
oops,819
mother,1081
paint,317
dances,16
try,2228
nap,460
trevor,182
window,475
rhinoceros,98
which,1553
fly,407
uniform,18
joyce,19
trailers,3
always,679
stubs,1
every,490
parsley,24
pour,298
before,1160
warm,442
bill,73
writes,25
shake,459
party,597
soup,406
must,901
bonk,117
number,457
swallow,55
goodbye,260
point,117
away,2391
relish,7
artist,32
holy,24
donald,143
strawberries,314
pot,163
year,473
behind,459
goose,105
wanted,622
rip,93
delivers,7
saying,657
breakfast,637
cherry,291
diane,21
onto,256
ground,245
nuts,98
thursday,273
nope,491
warmer,13
strawberry,175
whether,83
taken,93
sneak,22
somewhere,229
wilson,54
kiss,815
strange,98
might,951
silverware,12
second,540
clip,188
thanksgiving,49
franklin,187
oven,126
bert,122
spilled,131
christmas,339
frog,432
tests,5
tomato,111
hats,120
bumpy,43
type,103
care,337
brussels,34
sooner,17
wee,466
plane,219
sense,56
feet,782
di,119
twinkle,88
tea,711
hook,160
having,713
again,2473
tape,937
chair,1426
its,511
almost,825
police,171
mariana,147
shoo,17
hang,408
trouble,162
orange,993
laugh,106
ourselves,29
cute,466
shirts,47
happened,1622
chairs,146
steal,33
sunday,535
u,135
beads,174
taped,17
ice,997
cat,1653
basket,330
sweater,103
either,459
game,559
shovel,167
trucks,216
snake,352
bye,988
present,230
spell,276
folder,9
wake,269
paying,34
trying,682
enough,919
stripes,29
olivia,132
juice,1079
pool,171
mouth,1444
scratchy,61
each,359
jason,28
mix,203
people,1256
instead,278
sitting,674
costs,14
only,1186
riding,221
fall,737
carrying,117
