seq_len,d_model,nhead,batch_size,memory_mb,time_ms,tokens_per_sec
512,512,8,4,93.025390625,0.7848978042602539,2609256.8852708
1024,512,8,4,141.025390625,1.682734489440918,2434133.2668357445
2048,512,8,4,236.025390625,3.8230419158935547,2142796.281135017
4096,512,8,4,428.025390625,10.73603630065918,1526075.3169206444
8192,512,8,4,812.025390625,34.44039821624756,951440.7990945183
